player,average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,average_response_depth,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio,opening_1st_ground_fh_bh_ratio,cluster
Adrian_Mannarino,1.5793699814700433,0.1342512908777969,0.6153846153846154,0.0398009950248756,0.1840796019900497,0.1552600703949941,0.0117324990222917,0.2729761439186546,0.3820883848259679,0.335940555338287,2.1441326530612246,1.4017857142857144,1.6516853932584272,0.5594059405940593,2
Alejandro_Davidovich_Fokina,1.128125,0.1684210526315789,0.65625,0.0365168539325842,0.1404494382022472,0.2354570637119113,0.0096952908587257,0.2326869806094182,0.4487534626038781,0.3088642659279778,1.929245283018868,0.8888888888888887,0.8181818181818181,0.5208333333333334,1
Alejandro_Moro_Canas,1.414012738853503,0.0762711864406779,0.4444444444444444,0.004524886877828,0.1221719457013574,0.2657657657657657,0.0,0.2162162162162162,0.4099099099099099,0.3468468468468468,2.031055900621118,1.6249999999999998,2.2307692307692317,0.4615384615384615,1
Alejandro_Tabilo,1.3355855855855856,0.074074074074074,0.7,0.003610108303249,0.2057761732851985,0.2225969645868465,0.0168634064080944,0.2630691399662732,0.4384485666104553,0.2866779089376054,2.230769230769231,1.1379310344827585,1.7,0.4390243902439024,2
Alex_De_Minaur,1.7787524366471734,0.1306306306306306,0.5,0.0879629629629629,0.125,0.1556164383561643,0.0032876712328767,0.2526027397260273,0.4158904109589041,0.324931506849315,2.0246679316888048,1.142857142857143,1.2282608695652175,0.8074074074074074,3
Alex_Michelsen,1.255653883972468,0.1656441717791411,0.5740740740740741,0.1160862354892205,0.1724709784411277,0.1425215348472983,0.0078308535630383,0.220830070477682,0.3985904463586531,0.3735317149569303,2.051685393258427,0.8571428571428572,1.2666666666666664,1.111111111111111,3
Alexander_Bublik,1.173160173160173,0.1886227544910179,0.5238095238095238,0.0685413005272407,0.1836555360281195,0.2349323493234932,0.0410004100041,0.2332923329233292,0.4108241082410824,0.3415334153341533,1.9985207100591715,0.8907563025210085,1.4230769230769231,0.4411764705882351,0
Alexander_Shevchenko,1.3476190476190475,0.1126760563380281,0.75,0.0814814814814814,0.2074074074074074,0.0883392226148409,0.0141342756183745,0.2438162544169611,0.4593639575971731,0.2862190812720848,2.2232142857142856,1.0666666666666669,1.6666666666666663,0.6499999999999998,2
Alexander_Zverev,1.3311382878645344,0.1176470588235294,0.5714285714285714,0.0770519262981574,0.1591289782244556,0.1554770318021201,0.007773851590106,0.231095406360424,0.3512367491166078,0.3773851590106007,1.9361702127659568,1.051282051282051,1.2857142857142858,0.7383177570093458,3
Alexandre_Muller,1.2418300653594772,0.1612903225806451,0.5333333333333333,0.0917874396135265,0.2270531400966183,0.0947368421052631,0.0210526315789473,0.2421052631578947,0.4578947368421052,0.2868421052631579,2.2127659574468086,0.7894736842105263,1.235294117647059,0.8571428571428572,0
