average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,average_response_depth,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio,opening_1st_ground_fh_bh_ratio,player
1.0164330053882389,0.5412939404201363,0.3634169621980196,-0.7008207487399799,0.23083780268738488,-0.42917231224598107,0.38602968567724333,0.7794375088551565,-0.4132344843752928,0.08876111281943216,0.7836176369552493,0.2967434671149633,0.28123609403558314,-0.7032932356870814,Adrian_Mannarino
-0.9444925545018915,1.3742985502021645,0.6844142205587123,-0.7870513756731935,-0.8354583286441437,0.5770547214943292,0.06352633176448254,-0.2397745722198027,0.7400530205673281,-0.47064247748554794,-1.0501655355745163,-0.6255785584059521,-1.2741405123021305,-0.8183871611069192,Alejandro_Davidovich_Fokina
0.297858269103325,-0.8721690687686204,-0.9793166675460557,-1.6270540730096708,-1.282149742385486,0.9573362520456183,-1.471301515000854,-0.6564424966748691,0.0680702454361815,0.31408809667410087,-0.181344825883349,0.6981408670031751,1.3618474806031697,-0.9953127058596694,Alejandro_Moro_Canas
-0.04295396316011528,-0.9257311843835349,1.028070108921336,-1.6510731171902548,0.761089537420584,0.41569980205135004,1.1982858262773384,0.5288158208835507,0.561781154920667,-0.9290187183406481,1.5229477255276667,-0.17773594213220703,0.37139456643726615,-1.0624907637222825,Alejandro_Tabilo
1.8828673561410978,0.4530279847463232,-0.5429282378792312,0.5637524145101275,-1.2130337204401103,-0.4247009840620013,-0.950841692520427,0.2640428473584616,0.17153126825353895,-0.13868885852810858,-0.2358578013663189,-0.16887751675536314,-0.5089040066131458,0.036699841070485455,Alex_De_Minaur
-0.3903043452697475,1.3066025982208749,0.03892300167653457,1.3021760550306356,-0.052870286067490356,-0.5890019805192126,-0.23162626568373798,-0.5397238652277112,-0.12775335983745684,0.8654048152017125,-0.005299037577281639,-0.6826661886122753,-0.43723607363054773,0.9428986672875733,Alex_Michelsen
-0.7487881682588193,1.8667840084155891,-0.3559046251648777,0.05380412640260486,0.2204738742631241,0.5704711604307321,5.019331094174914,-0.2244607175510129,0.08388562505507413,0.20431113942571807,-0.4589902033468383,-0.6222204625114621,-0.14536347573624758,-1.0560693317207095,Alexander_Bublik
0.009338525940839759,0.015323933422161025,1.4208196956214783,0.39357025853758754,0.8009559619948048,-1.2688243162944397,0.7662466028478595,0.0417673955588726,0.9236116648366686,-0.938498224174478,1.4584761322999455,-0.3058878292505396,0.3091922095089722,-0.43297637983471315,Alexander_Shevchenko
-0.06228009448957682,0.1365090916769498,0.01814260026382843,0.27726486551112867,-0.3789411045144089,-0.4264501100274288,-0.24065005018405758,-0.2800373021765405,-0.9469592943752365,0.9450180297746754,-0.9910703005280863,-0.33355337311975863,-0.40169186967152226,-0.16945161289911878,Alexander_Zverev
-0.45037698954645355,1.2004626585052716,-0.28109518007913664,0.6641704568541728,1.281086379693015,-1.1885537548108238,1.861467523689601,-0.0015162772359485995,0.8981945499798158,-0.9256263770697659,1.3693132906020378,-0.8043529793152282,-0.4957794683865875,0.18510173944053163,Alexandre_Muller
-0.14791926044167958,-0.1479576996430519,0.564827006659631,0.06494264700440902,-0.20749310022543346,-0.026274435909108326,-0.3847776348512531,-0.5353729978669327,0.5283030223647944,0.08216189013453133,-0.14355787959376676,-0.3487035519052825,-0.24260289227427426,-0.84229601850594,Andrey_Rublev
-0.0674472148617628,0.4023566411456723,-0.0881655585422251,0.8861728174122552,0.3749362175556088,0.7181653400857401,1.1103802611533553,-0.9824047764689782,1.1764029895327497,-0.3856702095234458,-1.086053225063803,-0.5810173506549732,-0.6860455013437207,-0.2744606552792085,Andy_Murray
-0.1874882959879646,2.492406275368234,1.202625480788066,-0.3799083430089504,-1.5838631514788186,-0.3233964986404398,0.8844504096687336,0.4240700994657753,0.4423966606432077,-0.7644606965566686,0.464999039481984,-1.2431629215470885,-0.9348549290568939,-0.9515936523300325,Arthur_Fery
0.2161802106680434,-0.5923003701246958,-0.37928257675417176,0.9130412879799885,1.1880202957855808,-0.02289121150481063,-0.6858383563559429,-0.35236392809717604,-0.008169261880056284,0.5194844128105645,-0.2868580860643883,-0.8584359974054299,-0.6826832117800291,0.3232690241298845,Arthur_Fils
-1.141208089871843,4.750943954266425,-0.9230084830729174,1.9522607494571076,-2.7763537698693344,-0.9536797375299165,0.19947979727140608,-0.6528345062520275,0.18876408777892756,0.3983125183350959,-2.8490570854803905,-0.2973246847195915,2.4240723450709463,0.6113625113544928,Arthur_Rinderknech
0.34560439836810875,-0.11956668915906034,-0.9793166675460557,-1.7458625594029098,0.28596830085714336,-0.4328022700931542,-1.471301515000854,-0.4305369325826908,0.8678441554461058,-0.9316673932068046,0.6807253344087822,-0.18600380581726056,0.7446087080070262,0.6113625113544928,Ben_Shelton
-0.9251513880633303,0.366720362207782,0.9040439236476076,-0.7857615477386166,0.16144111597627833,-0.03777322423665287,-0.01530500771342498,0.303958699826763,0.6140783148632475,-1.030364262201541,0.45968018397278654,1.0036145805591277,-0.4342018123169723,0.039122023031640585,Botic_Van_De_Zandschulp
0.0213838706248008,0.08135430811226903,-0.5429282378792312,0.8244935297415542,-0.633846595275565,0.006707573931976384,0.4450406822461583,0.34465901018176687,0.4156232768938283,-0.5015470442497592,0.219382823128388,-0.4443106191941203,-0.3055985275729967,0.11838266209747647,Brandon_Nakashima
