player,average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,ace_rate,opening_1st_body,opening_1st_down_the_t,opening_1st_out_wide,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio,cluster
Flavio_Cobolli,1.5622895622895625,0.3783783783783784,0.7857142857142857,0.419047619047619,0.2,0.1137724550898203,0.0419161676646706,0.2874251497005988,0.3053892215568862,0.3892215568862275,0.1178451178451178,0.1891891891891892,0.2162162162162162,0.5405405405405406,1.727272727272727,2.0000000000000004,0
Frances_Tiafoe,2.1013745704467355,0.2049689440993788,0.6666666666666666,0.1226053639846743,0.2030651340996168,0.1341653666146645,0.0358814352574103,0.3213728549141966,0.1996879875195008,0.4742589703588143,0.063573883161512,0.2732919254658385,0.3354037267080745,0.3602484472049689,1.166666666666667,1.017241379310345,1
Francisco_Cerundolo,2.4204545454545454,0.0625,1.0,0.3043478260869565,0.1739130434782608,0.12,0.032,0.208,0.4,0.392,0.0227272727272727,0.0625,0.53125,0.40625,0.5263157894736842,0.8571428571428571,2
Francisco_Comesana,1.8135593220338984,0.4054054054054054,0.6,0.2465753424657534,0.1232876712328767,0.2777777777777778,0.0763888888888889,0.2847222222222222,0.3055555555555556,0.3958333333333333,0.1186440677966101,0.2432432432432432,0.4054054054054054,0.2972972972972973,1.4999999999999998,1.8571428571428568,3
Gael_Monfils,2.1285140562248994,0.272,0.7058823529411765,0.296137339055794,0.2145922746781116,0.0604982206405693,0.0177935943060498,0.3309608540925267,0.2170818505338078,0.4483985765124555,0.0682730923694779,0.28,0.352,0.344,1.488888888888889,1.4871794871794872,2
Gilles_Simon,2.798076923076923,0.1643835616438356,0.8333333333333334,0.0471698113207547,0.1509433962264151,0.0294117647058823,0.0160427807486631,0.3235294117647059,0.355614973262032,0.3181818181818182,0.0336538461538461,0.273972602739726,0.3561643835616438,0.3287671232876712,0.5434782608695652,1.1290322580645162,1
Giovanni_Mpetshi_Perricard,1.773764258555133,0.6871794871794872,0.5970149253731343,0.568075117370892,0.2582159624413145,0.0823095823095823,0.0122850122850122,0.3157248157248157,0.2199017199017199,0.4459459459459459,0.1283269961977186,0.0923076923076923,0.5076923076923077,0.3743589743589743,2.196078431372549,2.4,0
Gregoire_Barrere,2.07744874715262,0.3474576271186441,0.6341463414634146,0.1073170731707317,0.1512195121951219,0.120507399577167,0.0338266384778012,0.3319238900634249,0.2389006342494714,0.4207188160676532,0.0592255125284738,0.3474576271186441,0.3644067796610169,0.2542372881355932,1.4186046511627908,1.9655172413793105,1
Grigor_Dimitrov,1.873598369011213,0.2748815165876777,0.603448275862069,0.3571428571428571,0.2857142857142857,0.1621936989498249,0.0046674445740956,0.3150525087514585,0.1995332555425904,0.4714119019836639,0.0988786952089704,0.2701421800947867,0.3459715639810427,0.3791469194312796,2.2452830188679256,2.3181818181818192,3
Holger_Rune,1.9240506329113924,0.4454545454545454,0.6326530612244898,0.3090909090909091,0.2590909090909091,0.1141552511415525,0.0365296803652968,0.2191780821917808,0.2945205479452055,0.4748858447488584,0.0527426160337552,0.1818181818181818,0.4363636363636363,0.3727272727272727,2.5600000000000005,1.9090909090909087,0
