average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,ace_rate,opening_1st_body,opening_1st_down_the_t,opening_1st_out_wide,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio,player,cluster
1.3863048268916178,-0.5131343478118797,0.4565349789813245,-0.8180532865803972,-0.7853270009208073,-0.2754913679698451,-0.4842568820620209,0.3284959821711884,-0.2139537961634491,0.1335757701944267,-0.6892147236019145,0.1099693826109585,-0.3141292528814338,0.2586082108410442,-0.3687782343473657,-0.4242338856366319,Adrian_Mannarino,3
-0.3421713255162503,-0.1935045088229687,-0.3776105988939218,-1.333298623080455,-0.0320073156683818,0.5569658450338513,0.6425371252972265,-0.6670804447988092,0.3155916641215788,0.397753980105795,-0.7872972169873025,1.986214543949073,-0.9962590775469264,-1.6356445681176086,-0.09683026184631,-0.3374378939227169,Alejandro_Davidovich_Fokina,1
0.0568473505360224,-0.2508700169040309,1.4068949435405238,-1.6035973042375895,-1.166142596596601,-0.0794565563854761,-0.3999425694600197,0.9013409308116256,0.1817324641210758,-0.8666797716707292,-1.2665632863232512,0.4415828627236394,0.8360058732080878,-1.5777510182795265,0.0085270652484699,-0.2715750531515695,Alejandro_Moro_Canas,1
-0.220650038906912,-0.6292979811059219,-1.346585742158485,-1.0782968211466384,-0.1325181208109663,-0.0930708257389272,-0.0941942963144072,-0.1233543604769582,0.3193009420295282,-0.2335810993542828,-0.5447775571830623,1.486505110615925,-0.8741204442911313,-0.5620608854726852,-0.2601873296144788,-0.0520322505810782,Alejandro_Tabilo,1
1.4323424871884116,-0.6650535983696265,-0.2825675824493107,-0.5812223267125839,-0.2213290235384477,0.0021645648352531,-1.053697129394268,-0.4434657808836573,0.5960696915249855,-0.2067002357936394,-1.5586817192354754,1.20030525362094,-1.203940662642694,-0.2710167296776825,-0.2755245519188288,-0.4007586601377848,Alex_De_Minaur,1
-0.3572791502936959,0.72430246218538,0.290224277859245,0.93045956260234,0.2479295504184239,-0.6017866678052987,-0.1034460799074478,-0.2735776635755683,0.0519247639601544,0.3150428639534699,0.645171825173774,0.2248082920663228,-1.1193113926634672,0.850117358653822,-0.4077190011350228,-0.5648000291874994,Alex_Michelsen,2
-1.0868723621737697,0.6441076786880672,-0.5030119076292316,0.9172784617898728,0.1836263196754882,0.4760085047128904,3.046315141093162,0.5163810686841764,-0.6230551370268591,0.391281319936367,1.462036131813048,-0.4808036933625825,1.303628976164972,-0.8637213335408664,-0.4021935754145766,-0.4275183428124648,Alexander_Bublik,2
0.0634981945188605,-0.6923602243122577,-0.3098500993649306,0.2395000489976468,1.4612156956062066,-1.3145021415115663,0.182199930191173,-0.5852452511856469,1.0874199166228904,-0.6145986801312038,-0.5882104475741805,-1.0521426004939545,-0.1803406197953147,1.139037663203461,-0.3207145819227172,-0.4618454820459951,Alexander_Shevchenko,3
0.0020756942067655,-0.3531536283761847,0.1919488875579767,0.684642914180426,-0.7786699445089051,-0.0575087998432471,-0.7012361516733099,-0.493998731513444,-0.966467941522902,1.2524270012801615,0.4778695892987338,-2.052234617786412,2.435726482136173,0.0863690177875449,-0.5025526292594644,-0.4743632734206286,Alexander_Zverev,0
-0.7707237378244974,0.2937328598725611,-0.2621840927997098,-0.373662575665426,1.0010532162474408,0.2852646352161421,-0.583431764853775,-0.4934659404202878,0.8659832276698364,-0.5622152951442385,-0.5366484065750974,1.002951722255676,-1.0801380680416022,0.041245759213397,-0.3626180642899592,-0.1900305836253868,Alexandre_Muller,1
0.1812246534503759,1.629899140896501,-0.9823272730688576,2.143550551283904,-1.0826965528333543,2.328583785324176,-0.5079121824565479,0.4612195855006173,-0.5872166120932459,-0.0702498551936638,1.8588380815072565,1.2217077613809746,-1.9040462166102672,-0.1996947172156653,0.8777250137804038,0.8129663915466578,Alexei_Popyrin,2
0.1431738717696457,-0.5775146060783768,-0.1213527097661029,-0.2114012529840092,-0.3160054071025426,0.6316578192309028,-0.5312714511112465,-0.7940367673995552,0.7707848180244492,-0.0650556143516002,0.0638120070650771,-0.9038322974455266,0.8018185001802026,0.4593319447655216,-0.4172532831876612,-0.1693927857823408,Andrey_Rublev,3
0.3047251621387513,-0.2491416971092809,0.1949656221260476,0.8372712384005455,0.7109321285380673,0.8425813729332372,1.0480217859970105,-0.5940744324648205,0.7165538177912292,-0.210292463418229,0.2919268980354919,0.601191999865328,-0.3131968666153504,-0.2230857555109003,-0.2465406016404727,-0.5012117776793245,Andy_Murray,3
-2.035304626602928,5.698968338165211,0.0147842938330505,1.327123290116935,-2.242520005139035,-1.1078653603912758,-1.1921109256845617,2.986456878348952,-1.8940356723582368,-0.3306116726576907,3.27321351169041,0.8211647341503194,1.9920545668338288,-3.0004637762504167,0.4475159281433856,9.146811177122505,Antoine_Bellier,2
-0.4312148118708049,1.6687308852886744,-0.6152450949165201,-1.462149942440312,-1.4592555906557376,0.0281380716912234,1.3867043805162496,-1.7797143515737086,1.2616538004072688,0.0757199390207099,-0.0819831225715658,1.0981511096527965,-0.8999786234038448,-0.2841623555040151,-0.5925499931768766,-0.6471087943905676,Arthur_Fery,1
0.5561721034658144,-0.7369935869839054,0.4596856354921398,-0.0547104635406918,1.208960876476524,-0.1592475967213314,-0.172444165291801,0.5486397119007498,-0.0634608689671153,-0.3301805121476777,-0.725613383346829,-1.6296686251111825,0.9110330735337644,1.369194515980291,-0.3910585804347941,-0.4142778748223887,Arthur_Fils,0
-0.9665098876378126,3.2557673952296944,-0.4714192904496408,0.6612224166221917,-0.3496705276795621,-0.5649735083568268,0.860540445742168,0.2364610060859393,-0.6864293044584903,0.6081776514399501,0.27148742831436,-0.1556680948160964,-0.2535241455860121,0.4376520080509726,0.0220344148760057,0.5212184005752047,Arthur_Rinderknech,2
0.270799133072182,-0.0600053130399365,-0.5297637205635634,-0.9441436067057902,1.7951575019106936,-0.6850722473462595,-0.1081864461054231,0.4635295905809788,0.136307892199932,-0.5986311906353666,0.0874671313512897,-0.9563919194745673,1.893628227166077,-0.8513022125829339,0.1658314077858148,0.1361472944793426,Ben_Shelton,3
