average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,average_response_depth,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio,opening_1st_ground_fh_bh_ratio,player,cluster
1.0164330053882389,0.5412939404201363,0.3634169621980196,-0.7008207487399799,0.2308378026873848,-0.429172312245981,0.3860296856772433,0.7794375088551565,-0.4132344843752928,0.0887611128194321,0.7836176369552493,0.2967434671149633,0.2812360940355831,-0.7032932356870814,Adrian_Mannarino,0
-0.9444925545018916,1.3742985502021643,0.6844142205587123,-0.7870513756731935,-0.8354583286441437,0.5770547214943292,0.0635263317644825,-0.2397745722198027,0.7400530205673281,-0.4706424774855479,-1.0501655355745163,-0.6255785584059521,-1.2741405123021303,-0.8183871611069192,Alejandro_Davidovich_Fokina,3
0.297858269103325,-0.8721690687686204,-0.9793166675460556,-1.6270540730096708,-1.282149742385486,0.9573362520456185,-1.471301515000854,-0.6564424966748691,0.0680702454361815,0.3140880966741008,-0.181344825883349,0.6981408670031751,1.3618474806031695,-0.9953127058596694,Alejandro_Moro_Canas,3
-0.0429539631601152,-0.9257311843835349,1.028070108921336,-1.6510731171902548,0.761089537420584,0.41569980205135,1.1982858262773384,0.5288158208835507,0.561781154920667,-0.929018718340648,1.5229477255276669,-0.177735942132207,0.3713945664372661,-1.0624907637222825,Alejandro_Tabilo,0
1.8828673561410976,0.4530279847463232,-0.5429282378792312,0.5637524145101275,-1.2130337204401105,-0.4247009840620013,-0.950841692520427,0.2640428473584616,0.1715312682535389,-0.1386888585281085,-0.2358578013663189,-0.1688775167553631,-0.5089040066131458,0.0366998410704854,Alex_De_Minaur,1
-0.3903043452697475,1.3066025982208749,0.0389230016765345,1.3021760550306356,-0.0528702860674903,-0.5890019805192126,-0.2316262656837379,-0.5397238652277112,-0.1277533598374568,0.8654048152017125,-0.0052990375772816,-0.6826661886122753,-0.4372360736305477,0.9428986672875732,Alex_Michelsen,1
-0.7487881682588193,1.866784008415589,-0.3559046251648777,0.0538041264026048,0.2204738742631241,0.5704711604307321,5.019331094174914,-0.2244607175510129,0.0838856250550741,0.204311139425718,-0.4589902033468383,-0.6222204625114621,-0.1453634757362475,-1.0560693317207095,Alexander_Bublik,1
0.0093385259408397,0.015323933422161,1.4208196956214785,0.3935702585375875,0.8009559619948048,-1.2688243162944397,0.7662466028478595,0.0417673955588726,0.9236116648366686,-0.938498224174478,1.4584761322999455,-0.3058878292505396,0.3091922095089722,-0.4329763798347131,Alexander_Shevchenko,2
-0.0622800944895768,0.1365090916769498,0.0181426002638284,0.2772648655111286,-0.3789411045144089,-0.4264501100274288,-0.2406500501840575,-0.2800373021765405,-0.9469592943752364,0.9450180297746754,-0.9910703005280864,-0.3335533731197586,-0.4016918696715222,-0.1694516128991187,Alexander_Zverev,1
-0.4503769895464535,1.2004626585052716,-0.2810951800791366,0.6641704568541728,1.281086379693015,-1.1885537548108238,1.861467523689601,-0.0015162772359485,0.8981945499798158,-0.925626377069766,1.3693132906020378,-0.8043529793152282,-0.4957794683865875,0.1851017394405316,Alexandre_Muller,2
-0.1479192604416795,-0.1479576996430519,0.564827006659631,0.064942647004409,-0.2074931002254334,-0.0262744359091083,-0.3847776348512531,-0.5353729978669327,0.5283030223647944,0.0821618901345313,-0.1435578795937667,-0.3487035519052825,-0.2426028922742742,-0.84229601850594,Andrey_Rublev,2
-0.0674472148617628,0.4023566411456723,-0.0881655585422251,0.8861728174122552,0.3749362175556088,0.7181653400857401,1.1103802611533553,-0.9824047764689782,1.1764029895327497,-0.3856702095234458,-1.086053225063803,-0.5810173506549732,-0.6860455013437207,-0.2744606552792085,Andy_Murray,2
-0.1874882959879646,2.492406275368234,1.202625480788066,-0.3799083430089504,-1.5838631514788186,-0.3233964986404398,0.8844504096687336,0.4240700994657753,0.4423966606432077,-0.7644606965566686,0.464999039481984,-1.2431629215470883,-0.934854929056894,-0.9515936523300323,Arthur_Fery,3
0.2161802106680434,-0.5923003701246958,-0.3792825767541717,0.9130412879799884,1.1880202957855808,-0.0228912115048106,-0.6858383563559429,-0.352363928097176,-0.0081692618800562,0.5194844128105645,-0.2868580860643883,-0.8584359974054299,-0.6826832117800291,0.3232690241298845,Arthur_Fils,2
-1.141208089871843,4.750943954266425,-0.9230084830729174,1.952260749457108,-2.7763537698693344,-0.9536797375299164,0.199479797271406,-0.6528345062520275,0.1887640877789275,0.3983125183350959,-2.8490570854803905,-0.2973246847195915,2.4240723450709463,0.6113625113544928,Arthur_Rinderknech,3
0.3456043983681087,-0.1195666891590603,-0.9793166675460556,-1.7458625594029098,0.2859683008571433,-0.4328022700931542,-1.471301515000854,-0.4305369325826908,0.8678441554461058,-0.9316673932068046,0.6807253344087822,-0.1860038058172605,0.7446087080070262,0.6113625113544928,Ben_Shelton,3
-0.9251513880633304,0.366720362207782,0.9040439236476076,-0.7857615477386166,0.1614411159762783,-0.0377732242366528,-0.0153050077134249,0.303958699826763,0.6140783148632475,-1.030364262201541,0.4596801839727865,1.0036145805591277,-0.4342018123169723,0.0391220230316405,Botic_Van_De_Zandschulp,0
0.0213838706248008,0.081354308112269,-0.5429282378792312,0.8244935297415542,-0.633846595275565,0.0067075739319763,0.4450406822461583,0.3446590101817668,0.4156232768938283,-0.5015470442497592,0.219382823128388,-0.4443106191941203,-0.3055985275729967,0.1183826620974764,Brandon_Nakashima,1
